Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010
"06037186203","Census Tract 1862.03, Los Angeles County, California","ACSSF","ca","140","00","0004623",,,,,"06","037",,,"186203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186203","Census Tract 1862.03",,,,3104,1675,1162,22,0,281,0,16,194,1429
"06037186301","Census Tract 1863.01, Los Angeles County, California","ACSSF","ca","140","00","0004624",,,,,"06","037",,,"186301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186301","Census Tract 1863.01",,,,2713,888,437,166,0,171,0,0,114,1825
"06037186302","Census Tract 1863.02, Los Angeles County, California","ACSSF","ca","140","00","0004625",,,,,"06","037",,,"186302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186302","Census Tract 1863.02",,,,5082,2831,1908,42,0,751,0,0,130,2251
"06037186401","Census Tract 1864.01, Los Angeles County, California","ACSSF","ca","140","00","0004626",,,,,"06","037",,,"186401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186401","Census Tract 1864.01",,,,3042,784,213,62,0,463,0,23,23,2258
"06037186403","Census Tract 1864.03, Los Angeles County, California","ACSSF","ca","140","00","0004627",,,,,"06","037",,,"186403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186403","Census Tract 1864.03",,,,2692,854,225,30,0,470,0,0,129,1838
"06037186404","Census Tract 1864.04, Los Angeles County, California","ACSSF","ca","140","00","0004628",,,,,"06","037",,,"186404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037186404","Census Tract 1864.04",,,,2795,885,479,7,0,318,0,0,81,1910
"06037187101","Census Tract 1871.01, Los Angeles County, California","ACSSF","ca","140","00","0004629",,,,,"06","037",,,"187101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187101","Census Tract 1871.01",,,,2983,2096,913,0,0,1082,0,17,84,887
"06037187102","Census Tract 1871.02, Los Angeles County, California","ACSSF","ca","140","00","0004630",,,,,"06","037",,,"187102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187102","Census Tract 1871.02",,,,4588,2521,853,106,0,1337,0,0,225,2067
"06037187200","Census Tract 1872, Los Angeles County, California","ACSSF","ca","140","00","0004631",,,,,"06","037",,,"187200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187200","Census Tract 1872",,,,2809,1192,627,25,0,356,12,15,157,1617
"06037187300","Census Tract 1873, Los Angeles County, California","ACSSF","ca","140","00","0004632",,,,,"06","037",,,"187300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037187300","Census Tract 1873",,,,3688,2876,2155,102,0,502,0,16,101,812
"06037188100","Census Tract 1881, Los Angeles County, California","ACSSF","ca","140","00","0004633",,,,,"06","037",,,"188100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188100","Census Tract 1881",,,,3842,1864,1235,22,0,435,0,0,172,1978
"06037188201","Census Tract 1882.01, Los Angeles County, California","ACSSF","ca","140","00","0004634",,,,,"06","037",,,"188201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188201","Census Tract 1882.01",,,,3077,2660,1985,92,75,385,0,10,113,417
"06037188202","Census Tract 1882.02, Los Angeles County, California","ACSSF","ca","140","00","0004635",,,,,"06","037",,,"188202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188202","Census Tract 1882.02",,,,2832,2383,1594,68,0,600,0,52,69,449
"06037188300","Census Tract 1883, Los Angeles County, California","ACSSF","ca","140","00","0004636",,,,,"06","037",,,"188300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037188300","Census Tract 1883",,,,3738,2726,1473,15,147,925,0,0,166,1012
"06037189101","Census Tract 1891.01, Los Angeles County, California","ACSSF","ca","140","00","0004637",,,,,"06","037",,,"189101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189101","Census Tract 1891.01",,,,2366,2135,1583,92,0,421,9,0,30,231
"06037189102","Census Tract 1891.02, Los Angeles County, California","ACSSF","ca","140","00","0004638",,,,,"06","037",,,"189102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189102","Census Tract 1891.02",,,,3910,3297,2549,46,2,498,29,0,173,613
"06037189201","Census Tract 1892.01, Los Angeles County, California","ACSSF","ca","140","00","0004639",,,,,"06","037",,,"189201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037189201","Census Tract 1892.01",,,,3020,2417,2058,82,0,163,0,23,91,603
